melinda_id;original;cleaned;converted;udk_count
003748018;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
003748023;839.79|839.79;839.79;Suomenruotsalainen kirjallisuus;1
003748026;839.79|839.79;839.79;Suomenruotsalainen kirjallisuus;1
003748036;894.541;894.541;Suomenkielinen kirjallisuus;1
003748391;839.79|082;839.79;082;Suomenruotsalainen kirjallisuus;Useiden tekijöiden eriaiheisia julkaisuja sisältävät kokoomateokset;2
003748402;830;830;Saksankielinen kirjallisuus. Jiddišinkielinen kirjallisuus;1
003748406;839.79;839.79;Suomenruotsalainen kirjallisuus;1
003748521;809.454.1|894.541.01|894.541|894.541.09|82;809.454.1;894.541.01;894.541;894.541.09;82;Suomen kieli;Undetermined;Suomenkielinen kirjallisuus;Undetermined;Yleinen kirjallisuustiede. Kirjallisuudentutkimus. Suullinen esitystaito;5
003748554;882;882;Venäjänkielinen kirjallisuus;1
003749110;;NA;NA;0
003749746;32;32;Politiikantutkimus. Valtio-oppi;1
003749948;894.541;894.541;Suomenkielinen kirjallisuus;1
003749954;894.541|894.541;894.541;Suomenkielinen kirjallisuus;1
003750020;914.91|391/397;914.91;391/397;Undetermined;Undetermined;2
003750086;894.541;894.541;Suomenkielinen kirjallisuus;1
003750214;894.541|894.541;894.541;Suomenkielinen kirjallisuus;1
003750230;;NA;NA;0
003750234;;NA;NA;0
003750308;37;37;Kasvatus. Opetus. Koulutus;1
003750874;355/359|948.0|929 Keith|355.48|948.0.06;355/359;948.0;929;355.48;948.0.06;Sotataito. Sotatiede. Maanpuolustus;Suomen historia;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;Undetermined;Undetermined;5
003750886;336.7|338.23|336.71|336;336.7;338.23;336.71;336;Raha. Valuutta. Pankit. Arvopaperit. Luotot;Undetermined;Undetermined;Julkinen talous. Valtiontalous. Kunnallistalous ;4
003751108;929 Topelius,Zacharias;929;Henkilöhistoria. Elämäkerrat. Muistelmat. Matrikkelit ;1
003751209;;NA;NA;0
003751214;839.79|379.8;839.79;379.8;Suomenruotsalainen kirjallisuus;Vapaa-aika. Harrastukset ;2
003751215;915;915;Aasia;1
003751216;;NA;NA;0
003751573;;NA;NA;0
003751637;334|33|631.1;334;33;631.1;Osuustoiminta. Kauppakamarit;Kansantalous. Kansantaloustiede;Maatilan hoito ja organisointi (maatalousekonomia);3
003751699;;NA;NA;0
003751752;30|362.5;30;362.5;Undetermined;Undetermined;2
003751763;334;334;Osuustoiminta. Kauppakamarit;1
003751796;;NA;NA;0
003751904;334.1/.6;334.1/.6;Undetermined;1
003751941;172;172;Sosiaalietiikka. Velvollisuudet lähimmäisiä kohtaan;1
003751942;940.27/.55;940.27/.55;Undetermined;1
003752052;929 Schopenhauer, Arthur|1;929,;1;Undetermined;Filosofia ;2
003752102;940|323.1;940;323.1;Euroopan historia;Kansallisuusliikkeet. Kansallisuuskysymykset. Kansalliset vähemmistöt;2
