Name	Count	Percentage
Finnish;Sign languages	     3	 0.00
Finnish;Skolt Sami	     3	 0.00
Finnish;Swedish;Danish;Icelandic;Norwegian	     3	 0.00
Finnish;Swedish;English;German;French;Russian;Estonian	     3	 0.00
Finnish;Swedish;English;German;Russian;Estonian	     3	 0.00
Finnish;Swedish;German;Latin	     3	 0.00
Finnish;Swedish;Greek, Modern (1453-)	     3	 0.00
Finnish;Swedish;Russian;English	     3	 0.00
Finnish;Swedish;Sami;English	     3	 0.00
Finnish;Swedish;Somali	     3	 0.00
Finnish;Tamil	     3	 0.00
Finnish;Tatar	     3	 0.00
French;English;Russian	     3	 0.00
French;Italian	     3	 0.00
French;Italian;Spanish	     3	 0.00
German;Finnish;Swedish;English;French;Danish;Norwegian	     3	 0.00
German;Hungarian	     3	 0.00
Greek, Ancient (to 1453);Latin;Swedish	     3	 0.00
Indo-European (Other)	     3	 0.00
Indo-European (Other);Finnish	     3	 0.00
Italian;Finnish;Swedish	     3	 0.00
Italian;French	     3	 0.00
Kalâtdlisut	     3	 0.00
Khmer	     3	 0.00
Kyrgyz	     3	 0.00
Latin;Arabic;Swedish	     3	 0.00
Latin;German;French	     3	 0.00
Latin;Greek, Ancient (to 1453);Finnish	     3	 0.00
Latin;Multiple languages	     3	 0.00
Latin;Swedish;Hebrew	     3	 0.00
Latin;Syriac	     3	 0.00
Latin;Turkish	     3	 0.00
Lithuanian;English	     3	 0.00
Multiple languages;Finnish	     3	 0.00
Multiple languages;Finnish;English	     3	 0.00
Northern Sami;Sami;Finnish	     3	 0.00
Norwegian;German	     3	 0.00
Papuan (Other)	     3	 0.00
Portuguese;English	     3	 0.00
Romanian;Finnish	     3	 0.00
Russian;Finnish;English	     3	 0.00
Sami;German	     3	 0.00
Sami;Northern Sami;English	     3	 0.00
Sami;Northern Sami;Finnish;English	     3	 0.00
Swedish;Arabic;Persian;Turkish	     3	 0.00
Swedish;Chinese	     3	 0.00
Swedish;Danish;Norwegian;Icelandic	     3	 0.00
Swedish;English;French;German	     3	 0.00
Swedish;English;French;German;Danish;Norwegian;Finnish	     3	 0.00
Swedish;English;German;Finnish	     3	 0.00
Swedish;Esperanto	     3	 0.00
Swedish;Finno-Ugrian (Other);Finnish	     3	 0.00
Swedish;German;English;Latin;Finnish	     3	 0.00
Swedish;Latin;German	     3	 0.00
Swedish;Latin;Russian	     3	 0.00
Swedish;Old Norse	     3	 0.00
Swedish;Russian;Finnish	     3	 0.00
Swedish;Vietnamese	     3	 0.00
Swiss German	     3	 0.00
Thai	     3	 0.00
Votic	     3	 0.00
Akan;Finnish;English	     2	 0.00
Albanian;English	     2	 0.00
Arabic;Somali	     2	 0.00
Chechen	     2	 0.00
