melinda_id	id2	field008_6	publication_status	original	publication_year
1100485	FCC009776556|1100485	s	Single known date/probable date	uuuu	NA
1100600	FCC009777269|1100600	s	Single known date/probable date	uuuu	NA
1101510	FCC009778486|1101510	s	Single known date/probable date	uuuu	NA
1101511	FCC009778489|1101511	s	Single known date/probable date	uuuu	NA
1101579	FCC009778841|1101579	s	Single known date/probable date	uuuu	NA
1101584	FCC009778855|1101584	s	Single known date/probable date	uuuu	NA
1102249	FCC009781936|1102249	s	Single known date/probable date	uuuu	NA
1102320	FCC009782416|1102320	s	Single known date/probable date	uuuu	NA
1102471	FCC009782990|1102471	s	Single known date/probable date	uuuu	NA
1102488	FCC009783086|1102488	s	Single known date/probable date	uuuu	NA
1102489	FCC009783087|1102489	s	Single known date/probable date	uuuu	NA
1102490	FCC009783088|1102490	s	Single known date/probable date	uuuu	NA
1102491	FCC009783089|1102491	s	Single known date/probable date	uuuu	NA
1102492	FCC009783090|1102492	s	Single known date/probable date	uuuu	NA
1102494	FCC009783092|1102494	s	Single known date/probable date	uuuu	NA
1102497	FCC009783094|1102497	s	Single known date/probable date	uuuu	NA
1102523	FCC009783322|1102523	s	Single known date/probable date	uuuu	NA
1102574	FCC009783571|1102574	s	Single known date/probable date	uuuu	NA
1102585	FCC009783663|1102585	s	Single known date/probable date	uuuu	NA
1102586	FCC009783670|1102586	s	Single known date/probable date	uuuu	NA
1102587	FCC009783677|1102587	s	Single known date/probable date	uuuu	NA
1102749	FCC009784549|1102749	s	Single known date/probable date	uuuu	NA
1102788	FCC009784708|1102788	s	Single known date/probable date	uuuu	NA
1102794	FCC009784726|1102794	s	Single known date/probable date	uuuu	NA
1102796	FCC009784733|1102796	s	Single known date/probable date	uuuu	NA
1102835	FCC009784869|1102835	r	Reprint/reissue date and original date	    	NA
1102847	FCC009784921|1102847	s	Single known date/probable date	uuuu	NA
1102852	FCC009784929|1102852	s	Single known date/probable date	uuuu	NA
1102976	FCC009785142|1102976	s	Single known date/probable date	uuuu	NA
1103062	FCC009785657|1103062	s	Single known date/probable date	uuuu	NA
1103080	FCC009785964|1103080	s	Single known date/probable date	uuuu	NA
1103089	FCC009786015|1103089	s	Single known date/probable date	uuuu	NA
1103092	FCC009786034|1103092	s	Single known date/probable date	uuuu	NA
1103106	FCC009786128|1103106	s	Single known date/probable date	uuuu	NA
1103317	FCC009787515|1103317	s	Single known date/probable date	uuuu	NA
1103318	FCC009787522|1103318	s	Single known date/probable date	uuuu	NA
1103321	FCC009787532|1103321	s	Single known date/probable date	uuuu	NA
1103331	FCC009787721|1103331	s	Single known date/probable date	uuuu	NA
1103413	FCC009788579|1103413	s	Single known date/probable date	uuuu	NA
1103422	FCC009788591|1103422	s	Single known date/probable date	uuuu	NA
1103423	FCC009788602|1103423	s	Single known date/probable date	uuuu	NA
1103499	FCC009789575|1103499	s	Single known date/probable date	uuuu	NA
1103515	FCC009789740|1103515	s	Single known date/probable date	uuuu	NA
1103522	FCC009789768|1103522	s	Single known date/probable date	uuuu	NA
1103546	FCC009789841|1103546	s	Single known date/probable date	uuuu	NA
1103547	FCC009789842|1103547	s	Single known date/probable date	uuuu	NA
1103660	FCC009790593|1103660	s	Single known date/probable date	uuuu	NA
1103663	FCC009790600|1103663	s	Single known date/probable date	uuuu	NA
1103668	FCC009790614|1103668	s	Single known date/probable date	uuuu	NA
1103669	FCC009790615|1103669	s	Single known date/probable date	uuuu	NA
1103671	FCC009790619|1103671	s	Single known date/probable date	uuuu	NA
1103700	FCC009790642|1103700	s	Single known date/probable date	uuuu	NA
1103775	FCC009791025|1103775	s	Single known date/probable date	uuuu	NA
1103788	FCC009791156|1103788	s	Single known date/probable date	uuuu	NA
1103789	FCC009791167|1103789	s	Single known date/probable date	uuuu	NA
1103790	FCC009791170|1103790	s	Single known date/probable date	uuuu	NA
1103792	FCC009791208|1103792	s	Single known date/probable date	uuuu	NA
1103793	FCC009791210|1103793	s	Single known date/probable date	uuuu	NA
1103816	FCC009791447|1103816	s	Single known date/probable date	uuuu	NA
1103834	FCC009791530|1103834	s	Single known date/probable date	uuuu	NA
1103857	FCC009791971|1103857	s	Single known date/probable date	uuuu	NA
1103868	FCC009792307|1103868	s	Single known date/probable date	uuuu	NA
1103876	FCC009792365|1103876	s	Single known date/probable date	uuuu	NA
1103899	FCC009792534|1103899	s	Single known date/probable date	uuuu	NA
1103924	FCC009792721|1103924	s	Single known date/probable date	uuuu	NA
1103948	FCC009792899|1103948	s	Single known date/probable date	uuuu	NA
1103951	FCC009792911|1103951	s	Single known date/probable date	uuuu	NA
1103955	FCC009792935|1103955	s	Single known date/probable date	uuuu	NA
1103960	FCC009792960|1103960	s	Single known date/probable date	uuuu	NA
