melinda_id publication_year n
(FI-MELINDA)000716855 1912 1
(FI-MELINDA)000716908 1882 1
(FI-MELINDA)000721324 1914 1
(FI-MELINDA)000722806 1908 1
(FI-MELINDA)000723158 1909 1
(FI-MELINDA)000723832 1897 1
(FI-MELINDA)000728293 1906 1
(FI-MELINDA)000728498 1916 1
(FI-MELINDA)000728523 1917 1
(FI-MELINDA)000728567 1904 1
(FI-MELINDA)000728584 1906 1
(FI-MELINDA)000728603 1905 1
(FI-MELINDA)000728607 1900 1
(FI-MELINDA)000728609 1912 1
(FI-MELINDA)000728711 1890 1
(FI-MELINDA)000728731 1914 1
(FI-MELINDA)000728791 1874 1
(FI-MELINDA)000728792 1911 1
(FI-MELINDA)000728797 1916 1
(FI-MELINDA)000728805 1888 1
(FI-MELINDA)000728806 1910 1
(FI-MELINDA)000728807 1894 1
(FI-MELINDA)000728935 1916 1
(FI-MELINDA)000729250 1896 1
(FI-MELINDA)000732504 1906 1
(FI-MELINDA)000732733 1887 1
(FI-MELINDA)000733416 1917 1
(FI-MELINDA)000734647 1912 1
(FI-MELINDA)000736760 1899 1
(FI-MELINDA)000736784 1883 1
(FI-MELINDA)000736859 1906 1
(FI-MELINDA)000736890 1915 1
(FI-MELINDA)000738061 1910 1
(FI-MELINDA)000747890 1903 1
(FI-MELINDA)000748486 1866 1
(FI-MELINDA)000748488 1904 1
(FI-MELINDA)000748595 1902 1
(FI-MELINDA)000748601 1905 1
(FI-MELINDA)000748607 1868 1
(FI-MELINDA)000748608 1869 1
(FI-MELINDA)000748609 1909 1
(FI-MELINDA)000748637 1870 1
(FI-MELINDA)000748650 1877 1
(FI-MELINDA)000748705 1886 1
(FI-MELINDA)000748708 1884 1
(FI-MELINDA)000748724 1893 1
(FI-MELINDA)000748726 1887 1
(FI-MELINDA)000748729 1886 1
(FI-MELINDA)000748731 1890 1
(FI-MELINDA)000748749 1893 1
(FI-MELINDA)000748754 1905 1
(FI-MELINDA)000748774 1904 1
(FI-MELINDA)000748809 1899 1
(FI-MELINDA)000748813 1904 1
(FI-MELINDA)000748815 1905 1
(FI-MELINDA)000749242 1915 1
(FI-MELINDA)000751469 1909 1
(FI-MELINDA)000751473 1911 1
(FI-MELINDA)000755476 1917 1
(FI-MELINDA)000756550 1908 1
(FI-MELINDA)000760817 1916 1
(FI-MELINDA)000760982 1915 1
(FI-MELINDA)000761690 1905 1
(FI-MELINDA)000762020 1911 1
(FI-MELINDA)000764078 1892 1
(FI-MELINDA)000764117 1878 1
(FI-MELINDA)000764280 1907 1
(FI-MELINDA)000764782 1910 1
(FI-MELINDA)000765224 1880 1
(FI-MELINDA)000765375 1892 1
(FI-MELINDA)000765459 1888 1
(FI-MELINDA)000765460 1877 1
(FI-MELINDA)000765712 1914 1
(FI-MELINDA)000765736 1906 1
(FI-MELINDA)000765828 1900 1
(FI-MELINDA)000765899 1883 1
(FI-MELINDA)000765907 1881 1
(FI-MELINDA)000765919 1892 1
(FI-MELINDA)000765970 1905 1
(FI-MELINDA)000766029 1916 1
(FI-MELINDA)000766097 1904 1
(FI-MELINDA)000766106 1897 1
(FI-MELINDA)000766149 1894 1
(FI-MELINDA)000766152 1917 1
(FI-MELINDA)000766156 1906 1
(FI-MELINDA)000766163 1888 1
(FI-MELINDA)000766197 1909 1
(FI-MELINDA)000766214 1905 1
(FI-MELINDA)000766257 1900 1
(FI-MELINDA)000766258 1886 1
(FI-MELINDA)000766291 1901 1
(FI-MELINDA)000766328 1902 1
(FI-MELINDA)000766381 1884 1
(FI-MELINDA)000766382 1906 1
(FI-MELINDA)000766401 1909 1
(FI-MELINDA)000766404 1894 1
(FI-MELINDA)000766422 1889 1
(FI-MELINDA)000766428 1913 1
(FI-MELINDA)000766447 1915 1
(FI-MELINDA)000766451 1914 1
(FI-MELINDA)000766468 1904 1
(FI-MELINDA)000766493 1912 1
(FI-MELINDA)000766495 1912 1
(FI-MELINDA)000766519 1907 1
(FI-MELINDA)000766524 1905 1
(FI-MELINDA)000766528 1861 1
(FI-MELINDA)000766534 1864 1
(FI-MELINDA)000766537 1909 1
(FI-MELINDA)000766583 1889 1
(FI-MELINDA)000766590 1908 1
(FI-MELINDA)000766595 1910 1
(FI-MELINDA)000766921 1881 1
(FI-MELINDA)000767021 1902 1
(FI-MELINDA)000767218 1907 1
(FI-MELINDA)000767316 1905 1
(FI-MELINDA)000767440 1898 1
(FI-MELINDA)000767449 1906 1
(FI-MELINDA)000767458 1917 1
(FI-MELINDA)000767483 1890 1
(FI-MELINDA)000767513 1905 1
